Absolute time,CPU1,CPU2,Class
0,9,17,Normal
1,6,22,Normal
2,7,13,Normal
3,6,18,Attack
4,7,13,Attack
5,4,20,Attack
6,4,19,Attack
7,5,19,Attack
8,4,18,Attack
9,3,19,Attack
10,5,18,Attack
11,3,19,Attack
12,3,19,Attack
13,5,18,Attack
14,1,22,Attack
15,4,18,Attack
16,5,17,Attack
17,4,14,Attack
18,5,12,Attack
19,5,10,Normal
20,8,9,Normal
21,5,10,Normal
22,5,13,Normal
23,8,7,Normal
24,6,11,Normal
25,6,11,Normal
26,5,13,Normal
27,5,13,Normal
28,7,9,Normal
29,7,11,Normal
30,8,11,Normal
31,4,13,Normal
32,6,12,Attack
33,4,15,Attack
34,4,16,Attack
35,5,12,Attack
36,4,15,Attack
37,3,16,Attack
38,4,14,Attack
39,4,15,Attack
40,5,14,Attack
41,5,13,Attack
42,4,15,Attack
43,4,15,Attack
44,5,16,Attack
45,4,13,Attack
46,5,11,Normal
47,6,11,Normal
48,5,11,Normal
49,5,12,Normal
50,3,15,Attack
51,5,18,Attack
52,4,22,Attack
53,3,20,Attack
54,3,21,Attack
55,3,20,Attack
56,3,16,Attack
57,5,17,Attack
58,4,20,Attack
59,4,21,Attack
60,6,19,Attack
61,5,17,Attack
62,2,22,Attack
63,5,14,Attack
64,6,10,Normal
65,5,11,Normal
66,6,13,Normal
67,6,10,Normal
68,5,10,Normal
69,5,11,Normal
70,5,11,Normal
71,7,10,Normal
72,5,11,Normal
73,6,11,Normal
74,6,12,Normal
75,6,14,Attack
76,3,17,Attack
77,5,14,Attack
78,4,15,Attack
79,3,16,Attack
80,5,14,Attack
81,6,15,Attack
82,5,16,Attack
83,4,12,Attack
84,3,17,Attack
85,5,15,Attack
86,4,12,Attack
87,5,20,Attack
88,5,16,Attack
89,5,19,Attack
90,4,18,Attack
91,4,18,Attack
92,3,19,Attack
93,4,18,Attack
94,3,19,Attack
95,2,21,Attack
96,4,19,Attack
97,3,20,Attack
98,3,18,Attack
99,5,18,Attack
100,4,14,Attack
101,4,14,Attack
102,5,12,Normal
103,5,14,Normal
104,7,15,Normal
105,8,11,Normal